#Word	Part of Speech	definition	lesson number	parsing info	notes
μένω	verb	I remain	7	"present, active, indicative, 1st person, singular"	
μετά	preposition	"with gen., with; with acc., after"	7		
οὐρανός	noun	heaven	7	"masculine, singular, nominative"	
πέμπω	verb	I send	7	"present, active, indicative, 1st person, singular"	
πρός	preposition	"with acc., to, toward, in the presence of"	7		
προφήτης	noun	a prophet	7	"masculine, singular, nominative"	
τέκνον	noun	a child	7	"neuter, singular, nominative"	
τόπος	noun	a place	7	"masculine, singular, nominative"	
φέρω	verb	"I bear, I bring"	7	"present, active, indicative, 1st person, singular"	
"αὐτός, -ή, -ό"	pronoun	"he, she, it"	8	"3rd person, singular, nominative"	
δέ	conjunction	"but (light), and"	8		postpositive
ἐγώ	pronoun	I	8	"1st person, singular nominative"	
εἰμί	verb	I am	8	"present, active, indicative, 1st person, singular"	
ἡμεῖς	pronoun	we	8	"1st person, plural, nominative"	
σύ	pronoun	you (singular)	8	"2nd person, singular, nominative"	
ὑμεῖς	pronoun	you (plural)	8	"2nd person, plural, nominative"	
"ἐμοῦ, μου"	pronoun	"of me, my"	8	"1st person, singular, genitive"	
"ἐμοί, μοι"	pronoun	to or for me	8	"1st person, singular, dative"	
"ἐμέ, με"	pronoun	me	8	"1st person, singular, accusative"	
σοῦ	pronoun	"of you, your (singular)"	8	"2nd person, singular, genitive"	
σοί	pronoun	to or for you (singular)	8	"2nd person, singular, dative"	
σέ	pronoun	"you (direct object, singular)"	8	"2nd person, singular, accusative"	
 ἀγάπη	noun	love	9	"feminine, singular, nominative"	
ἁμαρτία	noun	"a sin, sin"	9	"feminine, singular, nominative"	
βαπτίζω	verb	I baptize	9	"present, active, indicative, 1st person, singular"	
διδάσκαλος	noun	a teacher	9	"masculine, singular, nominative"	
"ἐκεῖνος, -η, -ο"	pronoun	that (demonstrative)	9	"singular, nominative"	
ἐπαγγελία	noun	a promise	9	"feminine, singular, nominative"	
εὐαγγέλιον	noun	a gospel	9	"neuter, singular, nominative"	
κρίνω	verb	I judge	9	"present, active, indicative, 1st person, singular"	
νῦν	adverb	now	9		
"οὗτος, αὕτη, τοῦτο"	pronoun	this	9	"singular, nominative"	
οὕτως	adverb	"thus, so"	9		not to be confused with οὗτος
"πονηρός, -ά, -όν"	adjective	evil	9	"singular, nominative"	
πρόσωπον	noun	a face	9	"neuter, singular, nominative"	
χαρά	noun	joy	9	"feminine, singular, nominative"	
ἀκούω	verb	I hear	10	"present, active, indicative, 1st person, singular"	
ἀλλά	conjunction	but (stronger than δέ)	10		
ἁμαρτωλός	noun	a sinner	10	"masculine, singular, nominative"	
ἀποκρίνομαι	verb	I answer	10	"present, middle/passive, indicative, 1st person, singular"	"deponent, takes the dative"
ἄρχω	verb	I rule (takes genitive)	10	"present, active, indicative, 1st person, singular"	"middle form, I begin"
γίνομαι	verb	I become	10	"present, middle/passive, indicative, 1st person, singular"	"deponent; takes a predicate nominative, not an accusative"
διέρχομαι	verb	I go through	10	"present, middle/passive, indicative, 1st person, singular"	deponent
εἰσέρχομαι	verb	"I go in, I enter"	10	"present, middle/passive, indicative, 1st person, singular"	deponent
ἐξέρχομαι	verb	I go out	10	"present, middle/passive, indicative, 1st person, singular"	deponent
ἔρχομαι	verb	"I come, I go"	10	"present, middle/passive, indicative, 1st person, singular"	deponent
ὅτι	conjunction	"that, because"	10		
οὐ	adverb	not	10		"οὐκ before vowels, οἰχ before the rough breathing. proclitic."
πορεύομαι	verb	I go	10	"present, middle/passive, indicative, 1st person, singular"	deponent
σώζω	verb	I save	10	"present, active, indicative, 1st person, singular"	
ὑπό	preposition	"with gen., by (expressing agent); with acc., under"	10		
αἴρω	verb	"I take up, I take away"	11	"present, active, indicative, 1st person, singular"	
ἀναβαίνω	verb	I go up	11	"present, active, indicative, 1st person, singular"	ἀνα means up
ἀποθνήσκω	verb	I die	11	"present, active, indicative, 1st person, singular"	
ἀποκτείνω	verb	I kill	11	"present, active, indicative, 1st person, singular"	
ἁποστέλλω	verb	I send (with commission)	11	"present, active, indicative, 1st person, singular"	
ἄρτος	noun	"a piece of bread, a loaf, a bread"	11	"masculine, singular, nominative"	
βαίνω	verb	I go	11	"present, active, indicative, 1st person, singular"	"This verb by itself does not occur in the NT, but compound forms with prepositions are very common"
ἐσθίω	verb	I eat	11	"present, active, indicative, 1st person, singular"	
κατά	preposition	"with gen., against; with acc., according to"	11		"original meaning was down, but has many meanings in the NT"
καταβαίνω	verb	I go down	11	"present, active, indicative, 1st person, singular"	
μέν...δέ	construct	on the one hand...on the other	11		"Used in contrasts, the μέν is often best left untranslated and the δέ then best translated by :but:"
οὐκέτι	adverb	no longer	11		
παρά	preposition	"with gen., from; with dat., beside, in the presence of; with acc., alongside of"	11		
παραλαμβάνω	verb	"I receive, I take along"	11	"present, active, indicative, 1st person, singular"	
σύν	preposition	"with dat., with"	11		close synonym with μετά with the gen.
συνάγω	verb	I gather together	11	"present, active, indicative, 1st person, singular"	
τότε	adverb	then	11		
ἀπέρχομαι	verb	I go away	12	"present, middle/passive, indicative, 1st person, singular"	deponent
βιβλίον	noun	a book	12	"neuter, singular, nominative/accusative"	
δαιμόνιον	noun	a demon	12	"neuter, singular, nominative/accusative"	
δέχομαι	verb	I receive	12	"present, middle/passive, indicative, 1st person, singular"	deponent
έκπορεύομαι	verb	I go out	12	"present, middle/passive, indicative, 1st person, singular"	deponent
ἔργον	noun	a work	12	"neuter, singular, nominative/accusative"	
ἔτι	adverb	"still, yet"	12		
θάλασσα	noun	"a lake, a sea"	12	"feminine, singular, nominative"	
καί...καί	construct	both...and	12		
κατέρχομαι	verb	I go down	12	"present, middle/passive, indicative, 1st person, singular"	deponent
οὑδέ	conjunction	"and not, nor, not even"	12		
οὑδέ...οὐδέ	construct	neither...nor	12		
ὑπέρ	preposition	"with gen., in behalf of; with acc., above"	12		
οῦπω	adverb	not yet	12		
περί	preposition	"with gen., concerning, about; with acc., around"	12		
πλοῖον	noun	a boat	12	"neuter, singular, nominative/accusative"	
συνέρχομαι	verb	I come together	12	"present, middle/passive, indicative, 1st person, singular"	deponent
ἀναβλέπω	verb	"I look up, I receive my sight"	13	"present, active, indicative, 1st person singular"	
ἁναβλέψω	verb	"I will look up, I will receive my sight"	13	"future, active, indicative, 1st person singular"	
βήσομαι	verb	I will go	13	"future, middle, indicative, 1st person singular"	future deponent
γενήσομαι	verb	I will become	13	"future, middle, indicative, 1st person, singular"	deponent
γνώσομαι	verb	I will know	13	"future, middle, indicative, 1st person, singular"	future deponent
διδάξω	verb	I will teach	13	"future, active, indicative, 1st person singular"	
διώκω	verb	"I pursue, I persecute"	13	"present, active, indicative, 1st person singular"	
διώξω	verb	"I will pursue, I will persecute"	13	"future, active, indicative, 1st person singular"	
δοξάζω	verb	I glorify	13	"present, active, indicative, 1st person singular"	
δοξάσω	verb	I will glorify	13	"future, active, indicative, 1st person singular"	
ἐλεύσομαι	verb	"I will come, I will go"	13	"future, middle, indicative, 1st person, singular"	deponent
ἕξω	verb	I will have	13	"future, active, indicative, 1st person singular"	note the rough breathing
κηρύσσω	verb	"I proclaim, I preach"	13	"present, active, indicative, 1st person singular"	
κηρύξω	verb	"I will proclaim, I will preach"	13	"future, active, indicative, 1st person singular"	
λήμψομαι	verb	"I will take, I will receive"	13	"future, middle, indicative, 1st person, singular"	future deponent
προσεύχομαι	verb	I pray	13	"present, middle/passive, indicative, 1st person, singular"	deponent
προσεύξομαι	verb	I will pray	13	"future, middle, indicative, 1st person, singular"	deponent
τυφλός	noun	a blind man	13	"masculine, singular, nominative"	
δεῖ	verb	it is necessary	22	"present, active, indicative, 3rd person, singular"	impersonal verb used only in the 3rd person; almost always used with an infinitive subject.
ἔξεστι(ν)	verb	"it is lawful, it is permitted"	22	"present, active, indicative, 3rd person, singular"	impersonal verb used only in the 3rd person; almost always used with an infinitive subject.
θέλω	verb	I wish	22	"present, active, indicative, 1st person, singular"	
Ἰηυδαῖος	noun	a Jew	22	"masculine, singular, nominative"	
κελεύω	verb	I command	22	"present, active, indicative, 1st person, singular"	
κώμη	noun	a village	22	"feminine, singular, nominative"	
μέλλω	verb	"I am about (to do something), I am going (to do something)"	22	"present, active, indicative, 1st person, singular"	
ὀφείλω	verb	"I owe, I ought"	22	"present, active, indicative, 1st person, singular"	
πάσχω	verb	I suffer	22	"present, active, indicative, 1st person, singular"	
πρό	preposition	"with gen., before"	22		
σώτηρία	noun	salvation	22	"feminine, singular, nominative"	
Φαρισαῖος	noun	a Pharisee	22	"masculine, singular, nominative"	
Χριστός	noun	"Christ, the Messiah"	22	"masculine, singular, nominative"	
λύειν	verb	to loose	22	"present, active, infinitive"	
λύεσθαι	verb	"to loose for one's self (middle), to be loosed (passive)"	22	"present, middle/passive, infinitive"	
λῦσαι	verb	to loose	22	"1st aorist, active, infinitive"	
λύσασθαι	verb	to loose for one's self	22	"1st aorist, middle, infinitive"	
λυθῆναι	verb	to be loosed	22	"1st aorist, passive, infinitive"	
εἶναι	verb	to be	22		εἰμί only one infinitive form
